,title,year,runtime[min],genres,averagerating,numvotes,domestic_gross,foreign_gross,total_gross,genre0,genre1,genre2
164,Now You See Me,2013,115.0,"Crime,Mystery,Thriller",7.3,553156,117700000.0,234000000.0,351700000.0,Crime,Mystery,Thriller
165,Peter Rabbit,2018,95.0,"Adventure,Animation,Comedy",6.6,27908,115300000.0,236000000.0,351300000.0,Adventure,Animation,Comedy
166,Mary Poppins Returns,2018,130.0,"Comedy,Family,Fantasy",6.9,52103,172000000.0,177600000.0,349600000.0,Comedy,Family,Fantasy
167,The Maze Runner,2014,113.0,"Action,Mystery,Sci-Fi",6.8,387038,102400000.0,245900000.0,348300000.0,Action,Mystery,Sci-Fi
168,The Smurfs 2,2013,105.0,"Adventure,Animation,Comedy",5.4,34229,71000000.0,276500000.0,347500000.0,Adventure,Animation,Comedy
169,Trolls,2016,92.0,"Adventure,Animation,Comedy",6.5,63295,153700000.0,193200000.0,346900000.0,Adventure,Animation,Comedy
170,Star Trek Beyond,2016,122.0,"Action,Adventure,Sci-Fi",7.1,209844,158800000.0,184600000.0,343400000.0,Action,Adventure,Sci-Fi
171,Alvin And The Chipmunks: Chipwrecked,2011,87.0,"Adventure,Animation,Comedy",4.4,28158,133100000.0,209600000.0,342700000.0,Adventure,Animation,Comedy
172,A Quiet Place,2018,90.0,"Drama,Horror,Sci-Fi",7.6,305031,188000000.0,152900000.0,340900000.0,Drama,Horror,Sci-Fi
173,300: Rise Of An Empire,2014,102.0,"Action,Fantasy,War",6.2,262978,106600000.0,231000000.0,337600000.0,Action,Fantasy,War
174,Prince Of Persia: The Sands Of Time,2010,116.0,"Action,Adventure,Fantasy",6.6,254975,90800000.0,245600000.0,336400000.0,Action,Adventure,Fantasy
175,Journey 2: The Mysterious Island,2012,94.0,"Action,Adventure,Comedy",5.8,83507,103900000.0,231400000.0,335300000.0,Action,Adventure,Comedy
176,The Great Wall,2017,72.0,Documentary,6.5,24,45500000.0,289400000.0,334900000.0,Documentary,,
177,Now You See Me 2,2016,129.0,"Action,Adventure,Comedy",6.5,216219,65099999.0,269800000.0,334899999.0,Action,Adventure,Comedy
178,The Good Dinosaur,2015,93.0,"Adventure,Animation,Comedy",6.7,91465,123100000.0,209100000.0,332200000.0,Adventure,Animation,Comedy
179,22 Jump Street,2014,112.0,"Action,Comedy,Crime",7.0,319504,191700000.0,139600000.0,331300000.0,Action,Comedy,Crime
180,Black Swan,2010,108.0,"Drama,Thriller",8.0,648854,107000000.0,222400000.0,329400000.0,Drama,Thriller,
181,The Spongebob Movie: Sponge Out Of Water,2015,92.0,"Adventure,Animation,Comedy",6.0,43560,163000000.0,162200000.0,325200000.0,Adventure,Animation,Comedy
182,Megamind,2010,95.0,"Action,Animation,Comedy",7.3,207488,148400000.0,173500000.0,321900000.0,Action,Animation,Comedy
183,Robin Hood,2010,140.0,"Action,Adventure,Drama",6.6,239480,105300000.0,216400000.0,321700000.0,Action,Adventure,Drama
184,The Conjuring 2,2016,134.0,"Drama,Horror,Mystery",7.4,194543,102500000.0,217900000.0,320400000.0,Drama,Horror,Mystery
185,Green Book,2018,130.0,"Biography,Comedy,Drama",8.3,204972,85100000.0,234700000.0,319800000.0,Biography,Comedy,Drama
186,The Last Airbender,2010,103.0,"Action,Adventure,Family",4.1,137734,131800000.0,187900000.0,319700000.0,Action,Adventure,Family
